Approach,Accuracy,Precision,Recall,F1-score
ResNet50 Features + SVM,0.7819,0.7809210046940674,0.7819,0.7812930793491544
End-to-End ResNet50,0.8236,0.8247872313766654,0.8236,0.8233740489854979
