Approach,Accuracy,Precision,Recall,F1-score
VGG16 Features + SVM,0.7824,0.7812245053086218,0.7824,0.7815930358962996
End-to-End VGG16,0.6772,0.6790103210223104,0.6772,0.6754563193861751
